class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_note,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,identifier,http://www.wikidata.org/entity/Q2343580,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,described_by_source,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,work_location,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,member_of,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V5TVPGB5izXm,"In his third book of madrigals, Bellavere composes ten stanzas from Camillo.",Giulio Camillo,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,notable_work,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,interested_in,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Vincenzo Bellavere,,"[""Vincenzo Bell'Haver""]",Vincenzo Bellavere,Vincenzo Bellavere.md,3CTFrDwbyYAe,24416562580127674755,present_in_work,,,,,,,,,,,,,,,,,
