class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value,related_to_value,motto_value
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,identifier,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,described_by_source,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ma9mE58a3Ryr,online database,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,inception,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,dissolved,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,location,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,official_website,,,,,,,,https://repim.itatti.harvard.edu/,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,catalog_identifier,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,member,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,notable_work,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,related_to,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,UFWerrYngAnv,541421778412290635743,motto,,,,,,,,,,,,,,,
