class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mkV3zAKyhxGc,Perugia,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",Forsennato,Accademia degli Insensati di Perugia,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n8gFvD2DbXwH,playwright,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,related_to,,,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7aGUFfJPscNq,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,interested_in,,,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9001.0,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,A8zvpBSv7FEi,167620965567698290747,identifier,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q16268327
