class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fXurj2BzALG4,Vincenzo Panciatichi,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,part_of,,,,,,,,Amore. Del Sig. Cavalliero Vincenzo Panciatichi. Cartello Primo,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YYFRNeCKx9AL,42.0,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NnMCa2tbLs4d,Atlas,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UMZHj49VFcAe,skerry,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKWBXKiEyath,giant,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oR7FTqvaDM4E,war,,,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Voi scoglio a sostener, novelli Atlanti",,,"Voi scoglio a sostener, novelli Atlanti","Voi scoglio a sostener, novelli Atlanti.md",VpHh9RAMw8sA,573922462503755435636,text,,,,,,,,,,,,,,,,,,,,,,,,,"Voi scoglio a sostener, novelli Atlanti,
Il Ciel de le mie glorie a voi sol lice,
Or che novo furor d'empi Giganti
Guerra crudele al mio bel Regno indice,
A voi ricorro avventurieri amanti
Movete contra lor la mano ultrice;
Io sarò vosco, e feritor preggiati
Di loro farovvi, e vincitor beati."
