class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,identifier,http://www.wikidata.org/entity/Q338523,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,inception,,,,,1593.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",159.0,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UyK6rcL5shtk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Federico Zuccari,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,visual arts,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,jbw4BmXheHcJ,858355864981473980926,notable_work,,,,,,,,,,,,,,,,,,
