class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_pseudonym,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,identifier,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,described_by_source,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,inception,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,dissolved,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1548.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,official_website,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",37.0,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,member,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Febea,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Laura Terracina,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,interested_in,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,notable_work,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,related_to,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incogniti di Napoli,,,Accademia degli Incogniti di Napoli,Accademia degli Incogniti di Napoli.md,AEYAQZcHRz3S,169623078505298548632,motto,,,,,,,,,,,,,,,,,,,,,
