class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_holding_institution,has_version_publication_date,contributor_value,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000060,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/501120010,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fS6dS2cNgwLT,(Gurrei 2020),,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,title,,,,,,Ricreationi amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,inception,,,,,,,1590.0,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE000060,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZyC2spPZeUPu', 'label': 'Giovanni Rossi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]",https://archive.org/details/ricreationiamor00carr,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFKV8cF4E3zb', 'label': 'Duke university'}",1590.0,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,contributor,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WdY5JsWWztUd,republic of letters,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,has_part,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,based_on,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,YGHkPLurgTyx,624245457086993490411,catalog_identifier,,,,,,,,,,,,,,,,,,,
