class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,part_of,,,,,,,,289.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hQ443u9PJfb4,Veronica Gambara.,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,part_of,,,,,,,,5.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d564otbkr4yr,Veronica Gambara.,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,text,,,,,,,,,,,,,,,,,,,,,,"Occhi lucenti, e belli,
Come esser può, ch'in un medesmo instante
Nascan da voi sì nove forme, e tante?
Lieti, mesti, superbi, humili, alteri.
Vi mostrate in un punto; onde di speme,
E di timor m'empiete;
E tanti effetti dolci, acerbi, e fieri
Nel cor' arso per voi, vengono insieme
Ad ogn'hor, che volete.
Hor poi che voi mia vita, e morte sete
Occhi felici, occhi beati, e cari
Siate sempre sereni, allegri, e chiari.",,
PoeticWork,"Occhi lucenti, e belli",,,"Occhi lucenti, e belli","Occhi lucenti, e belli.md",QSW3uZ3Uuhxd,462856650729662622131,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
