class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,member_of,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,related_to,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,notable_work,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,interested_in,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,catalog_identifier,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,bfitVoa2CYAr,694639614015216916056,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q112433743
