class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,part_of_section,part_of_pages,part_of_value,part_of_label,contributor_role,contributor_value,contributor_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,identifier,https://artflsrv04.uchicago.edu/philologic5/IWW/navigate/261/2/8,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP,Italian Women Writers,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,part_of,,,,,,Maddalena Campiglia. Alla sua Flori.,65.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AcZTTxreq22N,Flori favola boscareccia di Maddalena Campiglia,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7anjVSBTbe3C,Maddalena Campiglia,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJFhRHGa4FSM,swan,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rq5MFqmMSfYb,Cupid,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kEaU6QpCkpAA,star,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YoDNNDAxiCJF,Flori,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5EucBKm3UVh,Alessi,,,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Poggia, oh mia Flori al volo dietro, ardita",,,"Poggia, oh mia Flori al volo dietro, ardita","Poggia, oh mia Flori al volo dietro, ardita.md",YRnv8MiTxCW9,627689034462358330786,text,,,,,,,,,,,,,,,,,,,,,,,,,"POGGIA, oh mia FLORI, al volo dietro, ardita,
Di raro stuol di Cigni, e mostra quanto
L'altrui lagrime belle, un vago pianto
Sovente ha in gentil cor virtù infinita.

La santa, e del tuo petto alta ferita
Aperta mostra fuor, che averrà intanto,
Ch'appaghi il mondo d'un eterno vanto
La candidezza tua, se fia gradita.

E mentre di tua fiamma al puro ardore
Si scalda ogn'Alma più d' Amor rubella,
E divien molle ogni più saldo petto.

Dica il tuo caro ALESSI, il tuo diletto
Oh me felice sovra ogni Pastore,
Se m'unì à tanta fé benigna stella."
