class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,gender,,,male,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,work_location,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MmYBcxDcaCgT', 'label': '(Corso 2017)'}]",Accademia delle Virtù,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGeTASU8PMtY,,,Accademia dello Sdegno di Roma,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c48RgGS4E7hs,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFgU75BTMKLj', 'label': '(Vagenheim 2017)'}]",Pirro Ligorio,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYPBAQP5GSWP,classical antiquity,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,de7AEfvjawVj,735322369691445292499,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18090.0
