class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,identifier,https://edit16.iccu.sbn.it/titolo/CNCE043313,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV07290010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,identifier,https://rism.online/sources/993104404,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,title,,,,,,Dialogo della musica di m. Antonfrancesco Doni fiorentino,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1544.0,https://edit16.iccu.sbn.it/titolo/CNCE043313,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PUiiibUDCxVm', 'label': 'Girolamo Scotto'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_B/B149/,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ewRA3Vzr74FY,Claudio Veggio,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,dc2SS5eXwSLk,734568350868209142978,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,Anton Francesco Doni,,,,,,
