class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8,Brescia,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,member_of,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BwPnYw3EYwwk,theologian,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2nGWLcPAXiBE,heretic,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,related_to,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3765756,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,6FhznWNmwQhR,87504066918456902888,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020)
