class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,work_location,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,member_of,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,related_to,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,notable_work,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,interested_in,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,catalog_identifier,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,oELeGBw2s9DS,933078260638393400550,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2857170
