class,base_name,filename,label,id,n_id,property,instance_of_value,inception_value,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_pseudonym,member_label,interested_in_value,interested_in_label,notable_work_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,instance_of,[[academy]],,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,inception,,1588.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,dissolved,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1799.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,Bologna,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,official_website,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",1.0,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,member,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7', 'label': '(Nicolaci 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Pdscgmu8bbW,Rugginoso,Ridolfo Campeggi,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NsJUHD4xnxwp,emblem,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,notable_work,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,identifier,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q106701551,,
Organisation,Accademia dei Gelati di Bologna,Accademia dei Gelati di Bologna.md,Accademia dei Gelati di Bologna,VGeT8SCG2epE,562469214670538253090,described_by_source,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6u5awMPzi2uW,(Gurrei 2020)
