class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,identifier,https://edit16.iccu.sbn.it/titolo/CNCE048459,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zo7gdF6vwLoN,(Bolzoni 2012),,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,title,,,,,,"Cento giuochi liberali, et d'ingegno, nouellamente da m. Innocentio Ringhieri gentilhuomo bolognese ritrouati, et in dieci libri descritti",,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,inception,,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,has_version,,,,,,,,1553.0,https://edit16.iccu.sbn.it/titolo/CNCE048459,https://www.digitale-sammlungen.de/en/view/bsb10163860,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqNMJqJaMif5', 'label': 'Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X8CWQVqDeqdW', 'label': 'Giovanni Maria Bonelli'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10163860/manifest,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLDDPk8QBffP,Caterina de' Medici,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RQW4HQv9yidY,Innocenzio Ringhiero,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GewRJWWph5KT,parlour game,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",dEf3JNqbYykg,726836043748409506550,has_part,,,,,,,,,,,,,,,,,,,,,,
