class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,member_of,,,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,related_to,,,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,notable_work,,,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,interested_in,,,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9659.0,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,present_in_work,,,,,,,,,,,,,,,,
Agent,Barezzo Barezzi,Barezzo Barezzi.md,Barezzo Barezzi,ErCQtbKkNyBK,265074463574788117823,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q93414286
