class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,member_of,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,related_to,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,notable_work,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,interested_in,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16444.0,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,present_in_work,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,jeu6p2mjCMNZ,859429555775148124990,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q112541351
