class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036264,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,described_by_source,,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,title,,,,,Della noua scelta di rime di diuersi eccellenti scrittori de l'età nostra parte prima nouamente raccolte et mandate in luce per Benedetto Varoli,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,inception,,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE036264,1590.0,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eT7HYYCeNwWA,Benedetto Varoli,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,subject,,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,has_part,,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,based_on,,,,,,,,,,,,,,,
Book,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima.md,P8SrSEsmySeq,435683928788155054109,catalog_identifier,,,,,,,,,,,,,,,
