class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,identifier,http://www.wikidata.org/entity/Q2077568,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5VB64Nf9sroY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AwveTDUETzJD,cardinal,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,related_to,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,notable_work,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,interested_in,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,eD2HQtUhZbtT,746876478971552067994,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18680.0
