class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,identifier,http://id.sbn.it/bid/BVEE026890,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,described_by_source,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DRgiAyYDLPZb,drama collection,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,title,,,,,Drammi musicali di Ottauio Tronsarelli,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,inception,,,,,,1631.0,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2t3NaVuM5zYN', 'label': 'Francesco Corbelletti'}",1631.0,http://id.sbn.it/bid/BVEE026890,https://books.google.be/books?id=x0WjAEwzJ2QC,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Cz5znbGcax89,Maurizio di Savoia,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgExG22ootgh,Ottavio Tronsarelli,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,subject,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,has_part,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,RzPofTtv4LjT,495038032333955818123,based_on,,,,,,,,,,,,,,,,,
