class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,identifier,https://edit16.iccu.sbn.it/titolo/CNCE054429,,,,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,instance_of,,,,,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,title,,,,,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,inception,,,,,,1553.0,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE054429,https://books.google.it/books?id=ADSF54X1V-MC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1553.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WseEXdd2ezUW,Ovid,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gNdzPXA2ZGEx', 'label': 'Lodovico Dolce'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5K5Fc8Tejhd9,translator,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KUJbssRVrPmM,translation,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iMsLAWZsRpYq,mythology,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtFVPwAgP7uA,transformation,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,based_on,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WNXSRKHEc2me,Metamorphoses,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Le trasformationi di m. Lodovico Dolce,,,Le trasformationi di m. Lodovico Dolce,Le trasformationi di m. Lodovico Dolce.md,DvrqAKVpCZWT,246130755642424621486,depicts,,,,,,,,,,,,,,,,,,,,,
