class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,identifier,http://www.wikidata.org/entity/Q136765281,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8,(Sampson 2020),,,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG,Parma,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ixoXEAX9M2DD,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8', 'label': '(Sampson 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",1580.0,Accademia degli Innominati di Parma,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,related_to,,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0480,
Agent,Barbara Torelli Benedetti,,,Barbara Torelli Benedetti,Barbara Torelli Benedetti.md,ksGcW9hPLv6x,884540192808798615234,present_in_work,,,,,,,,,,,,,,,,,,,,,,
