class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NaH87wQeSvh2,"Iscusazion del Nolano. Alle più virtuose, et leggiadre dame.",De gli eroici furori,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BbJB7Gc6gwek,canzone,,,,,,,
PoeticWork,"De l'Inghilterra, oh vaghe Ninfe et belle",Praise of English women by Giordano Bruno.,,"De l'Inghilterra, oh vaghe Ninfe et belle","De l'Inghilterra, oh vaghe Ninfe et belle.md",S2wh6w7KrUG9,495602580294288515506,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
