class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,identifier,http://www.wikidata.org/entity/Q1768433,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,described_by_source,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,work_location,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5VB64Nf9sroY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AwveTDUETzJD,cardinal,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,related_to,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,notable_work,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,interested_in,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,GLtVpsfGgfog,295739871782062638413,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16339.0
