class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_note,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/008930000010101_000000198203C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6ZCFKDvvZwNn,Bartolomeo Torresani,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7PPRiYwEybka,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBzr3Jvs9S89,Incipit assonance.,Alma beat'e bella (Viola),,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b9EEWzfgsepR,Incipit assonance.,Alma beata e bella,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,text,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,subject,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,poetic_type,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DZwg5ijCKnjb,light beam,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable
MusicComposition,Alma beat'e bella (Torresani),,,Alma beat'e bella (Torresani),Alma beat'e bella (Torresani).md,X275VtLB8jcy,598473243003470876941,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable
