class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_volume,part_of_label,based_on_value,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfNhWec4EkAr,Luigi Alamanni,,,,,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WzC4uAhzQRBw,"Canto I, 1",1.0,Girone il cortese di Luigi Alamanni,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S2FS7sVvFihi,Le donne i cavallier l'arme gli amori,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DYmAPqoy7Zec,forest,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Io che giovin cantai d'ardenti amori,,,Io che giovin cantai d'ardenti amori,Io che giovin cantai d'ardenti amori.md,KFBcTPzv2qZo,355577732866514014878,text,,,,,,,,,,,,,,,,,,,,,,,,,"Io che giovin cantai d'ardenti amori
I dubbiosi piacer, le certe pene,
Poi destai per le selve tra i pastori
Zampogne inculte, e semplicette avene:
Indi l'arte e l'oprar' a i buoni cultori
Mostrai ch'ai campi e gregge si conviene,
Hor de i miei giorni alle stagion mature
Narrerò di Gyron l'alte avventure:"
