class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,title_value,instance_of_value,instance_of_label,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,identifier,https://edit16.iccu.sbn.it/titolo/CNCE054415,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,described_by_source,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,title,,,"Oratione d'Adriano Valerini veronese, in morte della diuina signora Vincenza Armani, comica eccellentissima. Et alcune rime dell'istesso, e d'altri auttori, in lode della medesima. Con alquante leggiadre e belle compositioni di detta signora Vincenza",,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AkCzeiRWZcTc,oration,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,inception,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE054415,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bSFXtFE2ooWo', 'label': 'Verona'}]",1570.0,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2JBDGRh7Z94i,Adriano Valerini,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n3jrHXfwYr6b,Vincenza Armani,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hxGbZLpsZTDB,elegy,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,has_part,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,based_on,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",HzQNjiC6Dmwy,329954407232105052466,catalog_identifier,,,,,,,,,,,,,,,,,
