class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F055200000101_PPPP00042300C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gNdzPXA2ZGEx,Lodovico Dolce,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/44NBTod6K3M3,Giovanni Maria Bonardo,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,part_of,,,,,,,,,Al Signor Lodovico Domenichi.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xu3FeGq6EtRs,21.0,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/knEhuwD9cHVP,humility,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X6tpZpZf34Lu,Lodovico Domenichi,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BQRZFgW6wAyq,ingenuity,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,92XDcRc6YX23,144636784644572437258,text,,,,,,,,,,,,,,,,,,,,,,,,,"Mi duol non haver stile
Uguale a i meriti vostri
DOMENICHI gentile,
Acciò potessi in parte
Così, com'ho il desio
Dirne una qualche parte:
Ma non potendo più vi dono il core,
E vi prego a tener a mente ch'io
Sì come mio maggiore
Vi riverisco, e bramo farvi honore."
