class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F153065000010101_000000249000C,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,Anton Francesco Doni,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,contributor,,,,,,[[Claudio Veggio]],https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,part_of,,,,,,,,,[[Dialogo della musica di m. Anton Francesco Doni]],,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,instrumentation,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,instrumentation,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,instrumentation,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,instrumentation,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,based_on,,,,,,,,,,,,,[[Madonna hor che direte]],,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,derivative_work,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,text,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,language,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,subject,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,poetic_type,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,depicts,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,LWLoTcxhPmKJ,381702522054253950670,metre,,,,,,,,,,,,,,,,,,,,
