class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,member_of,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b3cWxaEm2cLX,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WBaaDcSW6iHF', 'label': 'husband'}",Margherita Gonzaga,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,notable_work,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,interested_in,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15470.0,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,ikLPqBsoWwKi,840758154189211239985,present_in_work,,,,,,,,,,,,,,,,,
