class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,identifier,http://www.wikidata.org/entity/Q60220,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,described_by_source,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,instance_of,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,title,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,inception,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,has_version,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SZ7i6Mrhdezq,Virgil,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,subject,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,has_part,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,EDqz3eWn7oXL,251917927314123250428,based_on,,,,,,,,,,,,
