class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9g6i2k2ME43Z,Brescia,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,member_of,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Girolamo Ruscelli,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kfWdSELgwTFq,,Accademia dei Dubbiosi di Venezia,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a9GH7QAiLsqu,Rime di m. Domenico Mantova,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,interested_in,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,K9W3ttryRg3W,353522583354996928498,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140933179
