class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,identifier,http://id.sbn.it/bid/MUS0227460,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,identifier,https://rism.online/sources/990040359,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV13220010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6MeV83mKusDn,opera,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,title,,,,,,La Catena d'Adone posta in musica da Domenico Mazzocchi,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,inception,,,,,,,1626.0,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,has_version,,,,,,,,1626.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U6A7AEa9PvuU', 'label': 'Alessandro Vincenti'}",http://id.sbn.it/bid/MUS0227460,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA275/,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CzVuvtS2JrV8', 'label': 'librettist'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgExG22ootgh,Ottavio Tronsarelli,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cJtcdpKoAasW,Domenico Mazzocchi,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hheFHb8ZyvdL,Adonis,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,based_on,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmtoyAEq9q85,choir
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BE4kxtAbpReH,continuo group
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,ZjFvAdM6R83B,654644643446683446330,instrumentation,,,,,,,,,,,,,,,,,,,,10.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ne3BHXniMVmN,voice
