class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,identifier,http://www.wikidata.org/entity/Q3624795,,,,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hDMFBzVtguAY,(Novellari 1993),,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,work_location,,,,,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,member_of,,,,,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hDMFBzVtguAY,(Novellari 1993),,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,notable_work,,,,,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,parlour game,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Ascanio Mori,,"[""Ascanio de' Mori"", ""Ascanio de' Mori da Ceno""]",Ascanio Mori,Ascanio Mori.md,4yirr4fPGSu5,61443134020130882889,present_in_work,,,,,,,,,,,,,,,,,,
