class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,work_location,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,Compagnia dei Pastori Fratteggianti,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,occupation,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,related_to,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,notable_work,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MoHvpzT28S9a,novella,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,present_in_work,,,,,,,,,,,,,,,,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q724672,,
Agent,['Giambattista Cinzio Giraldi'],Giovanni Battista Giraldi,Giovanni Battista Giraldi.md,Giovanni Battista Giraldi,FAWFvt5sQcWt,271342358146823270174,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fLvw3hjfvNF9,(Castelli 2002)
