class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,identifier,http://www.wikidata.org/entity/Q3769792,,,,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC9ap7cjMHkW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia degli Ordinati di Roma,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CzVuvtS2JrV8,librettist,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,related_to,,,,,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giulio Strozzi,,,Giulio Strozzi,Giulio Strozzi.md,Wyd2YHjqWKjo,597939390590308148022,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16508.0
