class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,work_location,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mXyV74TVm8LR,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia dei Caliginosi di Ancona,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,related_to,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,notable_work,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,interested_in,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,catalog_identifier,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,k2982ArXhuTq,866752924619994320966,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q30250615
