class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,identifier,http://www.wikidata.org/entity/Q3827830,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AGd5KQaFuxjD,(Treadwell 2013),,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ahH5gTADpSKX,Accademia dei Rinnovati di Ferrara,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fhxUY9jJWMZD,Accademia Filarmonica di Verona,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eyV9wwcfCgPX,singer,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zwz6KuPgWRWe', 'label': 'student'}",Tarquinia Molza,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,,Torquato Tasso,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,eQyeBuP32NDJ,751210490654637008854,present_in_work,,,,,,,,,,,,,,,,,,,,
