class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F83FXwvvhCvA,Giovanni Battista Maurizzi,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,part_of,,,,,,,,Dell'Immaturo,16.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGHkPLurgTyx,Ricreazioni amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY,lover,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rq5MFqmMSfYb,Cupid,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kEaU6QpCkpAA,star,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",GgSrDXScoPs6,302817671297708991037,text,,,,,,,,,,,,,,,,,,,,,,,"Non temete più, amanti,
Che vi saetti Amore,
Che vota ha la faretra nel mio core:
Né del suo foco alcun habbia sospetto,
Ch' arso havendomi il petto
Ascosa ha la facella
Né i raggi del mia lucente stella."
