class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_external_source,has_version_holding_institution,has_version_publication_date,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kh6VwMSVUp3m,(Eco 2017),,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,title,,,,,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,inception,,,,,,,1624.0,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,has_version,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11057746/manifest,https://www.digitale-sammlungen.de/en/view/bsb11057746,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",1624.0,https://mdz-nbn-resolving.de/details:bsb11057746,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LStkRDBxc8jf,Gustavus Selenus,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z5Lk6MjzEKdY,cryptography,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,Cryptomenytices et Cryptographiae libri IX,,,Cryptomenytices et Cryptographiae libri IX,Cryptomenytices et Cryptographiae libri IX.md,TKWxpLWVo24V,522236012629833443517,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oSZYuCbHEuRt,volvelle
