class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,member_of,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,related_to,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,notable_work,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,interested_in,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",7340.0,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,h98jfRjMidFB,807377079660944377062,present_in_work,,,,,,,,,,,,,,,
