class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_holding_institution,has_version_external_source,has_version_place_of_publication,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV51470010,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036882,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,title,,,,,,"Corona della morte dell'illustre signore, il sig. comendator Anibal Caro. Di nouo posta in luce per Giulio Bonagionta da S. Genesi",,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,inception,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,has_version,,,,,,,,1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PUiiibUDCxVm', 'label': 'Girolamo Scotto'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cE3uk5h5wRH3', 'label': 'Royal Holloway University of London'}",https://repository.royalholloway.ac.uk/items/9e2da649-1c20-6d7b-bc0f-435bc8ce2819/1/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE036882,Altus and Bassus only.,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,has_version,,,,,,,,1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PUiiibUDCxVm', 'label': 'Girolamo Scotto'}",,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R220/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE036882,Cantus only.,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EURnex9Eajh,Annibale Caro,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,88MvjYtFRxGS,126114152650237180740,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hxGbZLpsZTDB,elegy,,,,
