class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,member_of,,,,,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BTu8aQJK5duX,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oGkKAF5mXxzW', 'label': 'husband'}",Renée of Valois,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,notable_work,,,,,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,interested_in,,,,,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Ercole II d'Este,Ercole II d'Este.md,Ercole II d'Este,TREsfFPkSxgh,524306014311886195185,present_in_work,,,,,,,,,,,,,,,,
