class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d564otbkr4yr,Veronica Gambara.,2.0,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d3toCwWjFK73,religious war,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaRhTQBuzNf,Protestantism,,,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kcWr3rLLCUsP,Jesus Christ,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BM2Fg8iJ24DH,Emperor Charles V,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/amsWLwoeb6WE,Francis I of France,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2nGWLcPAXiBE,heretic,,,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,text,,,,,,,,,,,,,,,,,,,,,,"Vinca gli sdegni e l'odio vostro antico
Carlo e Francesco, il nome sacro e santo
Di CRISTO, e di sua fé vi caglia tanto,
Quanto a voi più d'ogni altro è stato amico.

L'armi vostre a domar l'empio nemico
Di lui, sian pronte; e non tenete in pianto
Non pur l'Italia; ma l'Europa, e quanto
Bagna il mar, cinge valle, o colle aprico.

Il gran Pastor; a cui le chiavi date
Furon del Cielo, a voi si volge e prega,
Che de le greggie sue pietà vi prenda,

Possa più de lo sdegno in voi la pietate
Coppia reale; un sol desio v'accenda
Di vendicar chi CRISTO sprezza e nega.",,
PoeticWork,Vinca gli sdegni e l'odio vostro antico,,,Vinca gli sdegni e l'odio vostro antico,Vinca gli sdegni e l'odio vostro antico.md,CNuLZKzbMV4w,213925657063027041833,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
