class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,identifier,http://www.wikidata.org/entity/Q602056,,,,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,identifier,https://it.wikisource.org/wiki/Autore:Anton_Francesco_Grazzini,,,,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xq3u4SAhTNiG,(Malato 1993),,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,member_of,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,related_to,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,notable_work,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,
Agent,Anton Francesco Grazzini,,,Anton Francesco Grazzini,Anton Francesco Grazzini.md,oJjcTJKEjucv,934672276453292551432,catalog_identifier,,,,,,,,,,,,,,,,,
