class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,identifier,http://www.wikidata.org/entity/Q1263627,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,described_by_source,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,work_location,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,member_of,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,related_to,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,notable_work,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,interested_in,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,present_in_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso
Agent,Astolfo,,,Astolfo,Astolfo.md,n3JhkD4ERQdC,908447680238043679585,present_in_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7WmdoicdMZx,Astolfeide del divino Pietro Aretino
