class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,identifier,https://rism.online/people/30021159,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,work_location,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,member_of,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,related_to,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,notable_work,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,interested_in,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Cesare Marotta,Cesare Marotta.md,Cesare Marotta,GUoXX75dGadB,298604569219713693492,present_in_work,,,,,,,,,,,,,,,,
