class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_role,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCJ6Wh9v2ggw,Parma,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Tg2twUHRexM5,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Perduto,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",Accademia degli Innominati di Parma,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,related_to,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9144.0,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,2viC3VK3DkaX,19080908896687892558,present_in_work,,,,,,,,,,,,,,,,,,,
