class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJjcTJKEjucv,Anton Francesco Grazzini,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/avjbxQsjceBd,2.0,446-448,Canto de' Cavalieri Erranti del Lasca,"Tutti i trionfi, carri, mascherate o canti carnascialeschi andati per Firenze dal tempo del Magnifico Lorenzo",,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,poetic_type,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QD7ZE8NxGr96,knight,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFiPL4Hssca2,duel,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",3oLAx7Ywa5hg,37042723311619753046,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
