class,aliases,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,identifier,http://www.wikidata.org/entity/Q184742,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,instance_of,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,title,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,inception,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,has_version,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WseEXdd2ezUW,Ovid,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iMsLAWZsRpYq,mythology,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtFVPwAgP7uA,transformation,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,based_on,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,catalog_identifier,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,has_part,,,,,,,,,,,,,,
Book,['Metamorfosi'],Metamorphoses,Metamorphoses.md,Metamorphoses,WNXSRKHEc2me,585232775885653382649,depicts,,,,,,,,,,,,,,
