class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,part_of,,,,,,,,171.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h3THWXv6qB74,Rime di madonna Gaspara Stampa,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfQkYfWDVNZC,departure,,,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Qual fosse il mio martire,,,Qual fosse il mio martire,Qual fosse il mio martire.md,jNK4ohcfYzzc,853420849284250906195,text,,,,,,,,,,,,,,,,,,,,,,,"Qual fosse il mio martire
Nel vostro dipartire,
Voi'l potete di qui Signor stimare,
Che mi fu tolto infin'il lagrimare.

E l'humor, che per gli occhi uscendo fore,
Suol sfogarmi'l dolore,
In quell'amara, e cruda dipartita
Mi negò la sua aita.

Oh mio misero stato,
D'altra donna non mai visto, o provato,
Poiché quello, ond'Amor è sì cortese
Nel maggior uopo a me sola contese."
