class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,identifier,http://www.wikidata.org/entity/Q17279972,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,described_by_source,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,member_of,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,related_to,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,notable_work,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,interested_in,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,mBuz2DVvb28R,890932160370536960567,catalog_identifier,,,,,,,,,,,,,,,
