class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,gender_value,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,instance_of,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,gender,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,work_location,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,member_of,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,occupation,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/np57ChPdvoRS,engraver,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,related_to,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,notable_work,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,interested_in,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20033.0,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,bLJ86Xgq2yk2,687603597240412853064,identifier,,,,,,,,,,,,http://www.wikidata.org/entity/Q21993844
