class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,identifier,http://www.wikidata.org/entity/Q3560663,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UAfipBNhAcY3,(Wilbourne 2007),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PKstiwXTy6a3,(Besutti 2019),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZmLq78UxndGN,(Wilbourne 2016),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,work_location,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,member_of,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,occupation,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/58dwD7hRWxzv,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Spensierati di Firenze,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,notable_work,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,interested_in,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,fichLUAEWcmA,778229960829277732823,present_in_work,,,,,,,,,,,,,,,,,
