class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XvaLF6gau6Uq,Virginia Martini Salvi,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,part_of,,,,,,,,155.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,1.0,Virginia Martini Salvi.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKwdk5uSxc8v,juxtaposition,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,poetic_type,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7iFPYdb9Lkjr,death,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SiSdUEKzaiU,game,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",M58XnmGyEVXz,393209625678715961585,text,,,,,,,,,,,,,,,,,,,,,,,,"Dolci sdegni, e dolc'ire,
Soavi tregue, e paci,
Che dolce fate ogni aspro, e rio martire:
Oh d'Amor liete faci,
Che ad ambi il petto ardete,
Con così grato foco,
Che m'è caro il penar, la morte gioco.
Frutto raro, che miete
Un breve sdegno: o più d' altro beato,
Se mai fin non avesse un tale stato.

Se in sogno ciò sentire,
Dolce cor mio, mi fate,
E moro senza mai di vita uscire;
Ditemi, se m'amate,
Qual pena esser potria,
Che fuor del sonno poi
Agguagliar si potesse a questa mia?
Deh non vi piaccia, dacché io moro in voi,
Darmi la morte, e ne' bei vostri lumi
Dolcemente lasciare, ch'io mi consumi."
