class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,identifier,http://www.wikidata.org/entity/Q18509145,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,identifier,https://lyra.unil.ch/agents/423,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/knnPzKcV2myr,(Procaccioli 2017),,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGeTASU8PMtY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia dello Sdegno di Roma,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,related_to,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,BZ54VTBDFUgN,196965463201906551758,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18122.0
