class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV00170010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,identifier,https://rism.online/sources/990000407,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036479,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,title,,,,,,Canzoni alla napolitana a cinque voci di d. Lodovico Agostini ferrarese. Libro primo,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,inception,,,,,,,1583.0,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE036479,1583.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",https://edl.cultura.gov.it/item/eq5127p0rd,https://edl-jarvis.cultura.gov.it/meta/iiif/9cd78746-179c-4753-bb20-9a4ff35e4ea8/manifest,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ikLPqBsoWwKi,Alfonso II d'Este,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,,,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini,Canzoni alla napoletana a cinque voci di d. Lodovico Agostini.md,dcspkerwAakE,734882060272882404837,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
