class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BM2Fg8iJ24DH,Emperor Charles V,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aS9jDyDiqBTA,Francesco Maria Santinelli,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,part_of,,,,,,,,"Canto VI, 45",Carlo Quinto,96.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQq3N3zLE9Lo,(Santinelli 1985),,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",X6GmNjP5Maiq,599982982661975019665,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
