class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,identifier,http://www.wikidata.org/entity/Q657600,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,work_location,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S59acxkGTG3N,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",Accademia dei Vivi,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LAknhYGzuMbb,mathematician,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,related_to,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kZmgJ422KRnA,Rythmomachia,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hwaVpgj7GbXT,serio ludere,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,J5pKGsChKZxe,331554588884196740100,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",19592.0
