class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,identifier,http://id.sbn.it/bid/MUS0276112,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,identifier,https://rism.online/sources/990053445,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV17290010,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AbuDB4awtRQP,music score,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,title,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,inception,,,,,,,1610.0,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,has_version,,,,,,,,http://id.sbn.it/bid/MUS0276112,1610.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BH2jtMMUakEo', 'label': 'Giacomo Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/BB/BB210/,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m3PTirRVb5FF,Enrico Radesca,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico","Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico.md",jD4gJt5iXgrm,850071232488076743391,instrumentation,,,,,,,,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ne3BHXniMVmN,voice
