class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_value,part_of_volume,part_of_pages,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F007810000101_PPPP00230700C,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Annibale Pocaterra]],,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,part_of,,,,,,,,"[[Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra]]",2.0,29.0,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PgcFuPe2GzQH,loyalty,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2ChPz3U9tJ8r,kiss,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,jNSpt5G7gvPx,853470220928296721040,text,,,,,,,,,,,,,,,,,,,,,,,"Dicesti anima mia
Ch'ardi per me d'Amore
Sol con le labbra
O col profondo core
Ah non sia mai ch'io il creda
Finché dell'amor tuo segno non veda
Vuoi che sicuro io sia
Che siano i detti tuoi ﬁdi e veraci
Sian testimoni e guiramenti i baci."
