class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044589,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV50910010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,identifier,https://rism.online/sources/993120186,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,title,,,,,,"Madregali ariosi a quatro voci composti da diversi eccellentissimi autori, et per Antonio Gardano nuouamente con somma diligentia stampati. Libro primo delle Muse a quatro voci",,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",1557.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE044589,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R197/,Alto missing,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V3eHzRACjkhi,Giovanni Domenico da Nola,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,DixbmYqobdws,241822973307768297841,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
