class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,identifier,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,title,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,inception,,,,,,1564.0,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,has_version,,,,,,,1564.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hke846QYoVbD', 'label': 'Antwerpen'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o8BzAGqSmxpP', 'label': 'Internet Archive'}",https://archive.org/details/cosmographiaapia00apia,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aa56E8kTgAo3,Peter Apian,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,based_on,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,has_part,,,,,,,,,,,,,,,,,,,,
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oSZYuCbHEuRt,volvelle
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hQt88dtteQ62,astrolabe
Book,Cosmographia Petri Apiani,,,Cosmographia Petri Apiani,Cosmographia Petri Apiani.md,DpdvDtJbrNXq,243876550783775241086,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body
